,ActualContent,codes
22,*HI SUN TECHOLOGY JUMPS 7.4% AFTER ISSUING A POSITIVE PROFIT ALERT,"['818.HK','NIKKEI','CN','HK','NR/ASIA']"
23,*HKTV EDGES UP 0.3%; WONG WAI KAY REPLACES CHEUNG CHI KIN AS CEO,"['1137.HK','NIKKEI','CN','HK']"
24,*HKTV EDGES UP 0.3%; WONG WAI KAY REPLACES CHEUNG CHI KIN AS CEO,"['1137.HK','NIKKEI','CN','HK','NR/ASIA']"
25,*TAUNG GOLD CLIMBS 5.6% AFTER ENTERING EPC CONTRACT WITH METALLURGICAL CORP. OF CHINA,"['1618.HK','621.HK','NIKKEI','CN','HK']"
26,*TAUNG GOLD CLIMBS 5.6% AFTER ENTERING EPC CONTRACT WITH METALLURGICAL CORP. OF CHINA,"['1618.HK','621.HK','NIKKEI','CN','HK','NR/ASIA']"
27,*PAX GLOBAL RISES 2.2% AFTER SAYING IT EXPECTS FY PROFIT TO RISE AT LEAST 20%,"['327.HK','NIKKEI','CN','HK']"
28,*PAX GLOBAL RISES 2.2% AFTER SAYING IT EXPECTS FY PROFIT TO RISE AT LEAST 20%,"['327.HK','NIKKEI','CN','HK','NR/ASIA']"
29,*FOREIGN INVESTORS SOLD NET $185.14 MLN OF INDIA DEBT ON DEC 30,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
30,*FOREIGN INVESTORS SOLD NET $1.20 BLN OF INDIA DEBT IN DECEMBER,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
31,*FOREIGN INVESTORS SOLD NET $2.17 BLN OF INDIA DEBT SINCE JAN 1,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
32,*FOREIGN INVESTORS SOLD NET $185.14 MLN OF INDIA DEBT ON DEC 30,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
33,*FOREIGN INVESTORS SOLD NET $1.20 BLN OF INDIA DEBT IN DECEMBER,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
34,*FOREIGN INVESTORS SOLD NET $2.17 BLN OF INDIA DEBT SINCE JAN 1,"['REUTERS','FRX','DBT','MMT','IN','GVD','CORPD']"
35,*INDIA RUPEE AT 71.26 TO DOLLAR AGAINST 71.31 PREVIOUS CLOSE,"['REUTERS','FRX','DBT','MMT','IN']"
36,*INDIA BENCHMARK BOND OPENS AT INR99.30 VS INR99.29 PREVIOUS CLOSE,"['REUTERS','DBT','MMT','IN','GVD']"
37,"*INDIA BENCHMARK BOND YIELD OPENS AT 6.55%, UNCHANGED FROM PREVIOUS CLOSE","['REUTERS','DBT','MMT','IN','GVD']"
38,"*INDIA'S BANK OF BARODA TO RAISE FUNDS VIA 10-YEAR TIER II BONDS, INVITES BIDS BY 12:00 PM ON JAN 2 - DEALERS","['REUTERS','DBT','MMT','IN','CORPD']"
39,*MALAYSIA’S EASTERN & ORIENTAL SIGNS JV PACT WITH JAPAN'S MITSUI FUDOSAN,"['ISLF','SEA','MY','NIKKEI','REDV','3417.KL']"
40,*MALAYSIA’S EASTERN & ORIENTAL SIGNS JV PACT WITH JAPAN'S MITSUI FUDOSAN,"['ISLF','SEA','MY','NIKKEI','REDV','3417.KL','NR/ASIA']"
41,*MALAYSIA’S EASTERN & ORIENTAL: NEW JV CO TO ACQUIRE LAND PARCELS FOR MYR88.33 MLN ,"['ISLF','SEA','MY','NIKKEI','REDV','3417.KL']"
42,*MALAYSIA’S EASTERN & ORIENTAL: NEW JV CO TO ACQUIRE LAND PARCELS FOR MYR88.33 MLN,"['ISLF','SEA','MY','NIKKEI','REDV','3417.KL','NR/ASIA']"
43,"*MALAYSIA’S EASTERN & ORIENTAL: NEW JV CO TO BUILD VILLAS, CONDOMINIUMS ON LAND TO BE ACQUIRED","['ISLF','SEA','MY','NIKKEI','REDV','3417.KL']"
44,"*MALAYSIA’S EASTERN & ORIENTAL: NEW JV CO TO BUILD VILLAS, CONDOMINIUMS ON LAND TO BE ACQUIRED","['ISLF','SEA','MY','NIKKEI','REDV','3417.KL','NR/ASIA']"
45,*MALAYSIA TDM TO BUY 70% STAKE IN TH PLANTATIONS' UNIT FOR MYR7 MLN,"['ISLF','POIL','SEA','MY','NIKKEI','FOOD','FARM','2054.KL','5112.KL','NR/DVT']"
46,"*MALAYSIA'S KUALA LUMPUR KEPONG TARGETS TO REPLANT 14,000 HECTARES LAND IN FY2020","['ISLF','POIL','SEA','MY','NIKKEI','FOOD','2445.KL']"
47,*MALAYSIA TDM TO BUY 70% STAKE IN TH PLANTATIONS' UNIT FOR MYR7 MLN,"['ISLF','POIL','SEA','MY','NIKKEI','FOOD','FARM','2054.KL','5112.KL','NR/DVT','NR/ASIA']"
48,"*MALAYSIA'S KUALA LUMPUR KEPONG TARGETS TO REPLANT 14,000 HECTARES LAND IN FY2020","['ISLF','POIL','SEA','MY','NIKKEI','FOOD','2445.KL','NR/ASIA']"
49,*MALAYSIA'S KUALA LUMPUR KEPONG: OLEOCHEMICAL DIVISION MAY FACE MARGIN SQUEEZE IN FY2020,"['ISLF','POIL','SEA','MY','NIKKEI','FOOD','2445.KL']"
50,*MALAYSIA'S KUALA LUMPUR KEPONG: OLEOCHEMICAL DIVISION MAY FACE MARGIN SQUEEZE IN FY2020,"['ISLF','POIL','SEA','MY','NIKKEI','FOOD','2445.KL','NR/ASIA']"
51,*INDIA RBI LIKELY TO SET CUTOFF YIELD ON 10-YEAR STATE BONDS BETWEEN 7.13%-7.16% - POLL,"['REUTERS','APOLL','DBT','MMT','IN','GVD']"
52,*INDIA RBI LIKELY TO SET CUTOFF YIELD ON 4-YEAR STATE BONDS AROUND 6.90% - POLL,"['REUTERS','APOLL','DBT','MMT','IN','GVD']"
53,*INDIA RBI LIKELY TO SET CUTOFF YIELD ON 15-YEAR AND 20-YEAR STATE BONDS AROUND 7.20% - POLL,"['REUTERS','APOLL','DBT','MMT','IN','GVD']"
54,*INDIA FINANCE MINISTER NIRMALA SITHARAMAN TO BRIEF MEDIA AT 3:00 PM TODAY - OFFICIAL,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
55,*INDIA RBI LIKELY TO SET CUTOFF YIELD ON 10-YEAR STATE BONDS BETWEEN 7.13%-7.16% - POLL,"['REUTERS','APOLL','DBT','MMT','IN','GVD']"
56,*INDIA RBI LIKELY TO SET CUTOFF YIELD ON 4-YEAR STATE BONDS AROUND 6.90% - POLL,"['REUTERS','APOLL','DBT','MMT','IN','GVD']"
57,*INDIA RBI LIKELY TO SET CUTOFF YIELD ON 15-YEAR AND 20-YEAR STATE BONDS AROUND 7.20% - POLL,"['REUTERS','APOLL','DBT','MMT','IN','GVD']"
58,*INDIA FINANCE MINISTER LIKELY TO BRIEF MEDIA ON NATIONAL INFRASTRUCTURE PIPELINE - OFFICIAL,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
59,*INDIA FINANCE MINISTER LIKELY TO BRIEF MEDIA ON NATIONAL INFRASTRUCTURE PIPELINE - OFFICIAL,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
60,*MALAYSIA POH HUAT RESOURCES FINANCE CONTROLLER: REVENUE TO GROW MORE THAN 10% THIS FY,"['SEA','MY','NIKKEI','7088.KL','ISLF','NR/ASIA']"
61,*POH HUAT FINANCE CONTROLLER: EXPECT FULL IMPACT FROM US-CHINA TRADE DIVERSION THIS FY,"['SEA','MY','NIKKEI','7088.KL','ISLF','NR/ASIA']"
62,*POH HUAT FINANCE CONTROLLER: EXPECT TO MAINTAIN FY NET PROFIT MARGIN AT 8%-9%,"['SEA','MY','NIKKEI','7088.KL','ISLF','NR/ASIA']"
63,*POH HUAT FINANCIAL CONTROLLER LEE ING TING WAS SPEAKING TO NIKKEI MARKETS IN INTERVIEW,"['SEA','MY','NIKKEI','7088.KL','ISLF','NR/ASIA']"
64,*INDIA’S TRADE MINISTRY OFFICIALS: PLAN TO LAUNCH RODTEP EXPORT INCENTIVE SCHEME IN PHASES,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','TRD','PLCY']"
65,"*INDIA OFFICIALS: RODTEP MAY BE LAUNCHED BY FEBRUARY-END FOR PHARMA, CHEMICALS","['REUTERS','FRX','DBT','MMT','IN','POL','ECON','TRD','PLCY']"
66,*INDIA OFFICIALS: RODTEP TO PROVIDE EXPORT INCENTIVE OF 1.5%-2% FOR VARIOUS SECTORS,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','TRD','PLCY']"
67,*INDIA OFFICIALS: MAY EXTEND INCENTIVE SCHEME MEIS BEYOND MAR 31 IF RODTEP NOT FINALISED FOR ALL SECTORS,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','TRD','PLCY']"
68,*INDIA OFFICIALS: TEXTILE SECTOR UNLIKELY TO BE BROUGHT UNDER RODTEP SCHEME,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','TRD','PLCY']"
69,"*INDIA'S NHPC TO RAISE AT LEAST INR2.50 BLN VIA 6-10 YEAR STRPP BONDS, INVITES BIDS BY 12:00 PM ON JAN 2 - DEALERS","['REUTERS','DBT','MMT','IN','CORPD']"
70,*INDIA AVIATION MINISTER: AIR INDIA HAS ACCUMULATED UNSUSTAINABLE DEBT OVER A PERIOD OF TIME,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
71,*INDIA AVIATION MINISTER: GOVT RELUCTANT TO INFUSE MORE FUNDS INTO AIR INDIA,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
72,"*INDIA AVIATION MINISTER: GOT A LOT OF INTEREST FROM PRIVATE ENTITIES, ESTABLISHED AIRLINES FOR AIR INDIA","['REUTERS','DBT','MMT','IN','AIRL','ECON']"
73,*INDIA AVIATION MINISTER: WANT AN INDIAN ENTITY TO ACQUIRE AIR INDIA FOR STRATEGIC REASONS,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
74,*INDIA AVIATION MINISTER HARDEEP SINGH PURI SPEAKING AT EVENT IN NEW DELHI,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
75,*INDIA AVIATION MINISTER: WILL BE ISSUING EOI FOR AIR INDIA IN NEXT FEW WEEKS ,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
76,*INDIA AVIATION MINISTER: NEXT MEETING OF ALTERNATIVE MECHANISM FOR AIR INDIA IN FEW WEEKS,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
77,*INDIA AVIATION MINISTER: TRYING TO PRIVATIZE AIR INDIA AS QUICKLY AS POSSIBLE,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
78,*INDIA AVIATION MINISTRY OFFICIAL: WILL TAKE 3-6 MONTHS TO RELEASE AIR CARGO POLICY,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
79,*INDIA AVIATION MINISTER: AIR INDIA WILL BE OPERATIONAL BUT HAS TO BE PRIVATIZED,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
80,*INDIA AVIATION MINISTER: AIR INDIA INCURS DAILY LOSS OF INR220 MLN - INR260 MLN,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
81,*INDIA’S NATIONAL FERTILIZERS TO RAISE FUNDS VIA OVER 2-MONTH CP AT 5.23% COUPON - DEALERS,"['REUTERS','DBT','MMT','IN','CORPD']"
82,*INDIA AVIATION MINISTER: WILL SOON DECIDE ON 3 AIRPORTS THAT WERE TO BE PRIVATIZED ,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
83,*INDIA AVIATION MINISTER: AAI HAS SENT PROPOSAL FOR PRIVATIZING 6 MORE AIRPORTS,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
84,*INDIA AVIATION MINISTER: TO ISSUE FRESH EOI FOR PAWAN HANS DIVESTMENT IN NEXT FEW WEEKS,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
85,"*INDIA AVIATION MINISTER: WANT ATF TO BE DELINKED FROM OTHER PETROLEUM PRODUCTS, TO BE INCLUDED IN GST REGIME","['REUTERS','TAX','DBT','MMT','IN','AIRL','ECON','OILG']"
86,*MALAYSIA'S DATASONIC GROUP SEES SHARES WORTH MYR43.79 MLN SOLD OFF-MARKET,"['ISLF','5216.KL','SEA','MY','NIKKEI','ITSE']"
87,*MALAYSIA'S DATASONIC GROUP SEES SHARES WORTH MYR43.79 MLN SOLD OFF-MARKET,"['ISLF','5216.KL','SEA','MY','NIKKEI','ITSE','NR/ASIA']"
88,*INDIA AVIATION SECRETARY: AVIATION RULES STIPULATE THAT INDIAN NATIONALS MUST OWN AIRLINES IN INDIA,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
89,*INDIA AVIATION SECRETARY: INSOLVENCY PETITIONS FILED IN TRIBUNALS DO NOT HINDER AIR INDIA PRIVATIZATION,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
90,"*INDIA TRADE MINISTRY OFFICIAL: MULLING RAISING CUSTOM DUTY ON NON-ESSENTIAL ITEMS, IMPOSE BORDER ADJUSTMENT TAX","['REUTERS','FRX','DBT','MMT','IN','POL','ECON','TRD','PLCY']"
91,*INDIA OFFICIAL: BORDER ADJUSTMENT TAX TO RUN IN TANDEM WITH HIGHER CUSTOM DUTY,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','TRD','PLCY']"
92,*INDIA OFFICIAL: RECOMMENDED SHARPLY RAISING IMPORT DUTY ON TOYS,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','TRD','PLCY']"
93,*INDIA OFFICIAL: LIST OF NON-ESSENTIAL ITEMS FOR HIGHER IMPORT TAX SUBMITTED TO FINANCE MINISTRY ,"['REUTERS','FRX','DBT','MMT','IN','POL','ECON','TRD','PLCY']"
94,*INDIA AVIATION SECRETARY: CONCERNED THAT PREDATORY PRICING MAY FORCE AIRLINES TO SHUT OPERATIONS,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
95,*INDIA AVIATION MINISTER: NOT CONSIDERING ANY REGULATION TO MANAGE AIR FARES,"['REUTERS','DBT','MMT','IN','AIRL','ECON']"
96,*INDIA RURAL DEVELOPMENT MINISTRY OFFICIAL: SEEK INR150 BLN MORE FOR RURAL JOB SCHEME MNREGA IN NEXT FY BUDGET,"['REUTERS','DBT','MMT','IN','POL','ECON','JOB','PLCY']"
97,"*INDIA OFFICIAL: NEED EXTRA FUNDS TO SCALE UP RURAL EMPLOYMENT PROGRAM, SPUR ECONOMIC ACTIVITIES ","['REUTERS','DBT','MMT','IN','POL','ECON','JOB','PLCY']"
98,*INDIA OFFICIAL: SPENT ABOUT INR560 BLN SO FAR THIS FY ON RURAL JOB SCHEME VS INR600 BLN ANNUAL AIM,"['REUTERS','DBT','MMT','IN','POL','ECON','JOB','PLCY']"
99,*INDIA OFFICIAL: NATIONAL INFRASTRUCTURE PIPELINE LIKELY TO INCLUDE AVIATION PROJECTS WORTH INR800 BLN,"['REUTERS','DBT','MMT','IN','AIRL','ECON','AIRP']"
100,*INDIA OFFICIAL: NATIONAL INFRASTRUCTURE PIPELINE LIKELY TO INCLUDE AVIATION PROJECTS WORTH INR800 BLN,"['REUTERS','DBT','MMT','IN','AIRL','ECON','AIRP']"
101,*MALAYSIA'S KLCI FALLS 1.7% TO END AT DAY LOW OF 1588.76,"['NR/STK','SEA','MY','NIKKEI']"
102,"*MALAYSIA'S IHH HEALTHCARE ENDS 4% LOWER AT MYR5.47, TOP PERCENTAGE LOSER ON KLCI","['ISLF','NR/STK','SEA','MY','NIKKEI','5225.KL','HFAC','HECA']"
103,*MALAYSIA'S KLCI FALLS 1.7% TO END AT 1588.76,"['NR/STK','SEA','MY','NIKKEI','NR/SMC','NR/ASIA']"
104,"*MALAYSIA'S IHH HEALTHCARE ENDS 4% LOWER AT MYR5.47, TOP PERCENTAGE LOSER ON KLCI","['ISLF','NR/STK','SEA','MY','NIKKEI','5225.KL','HFAC','HECA','NR/ASIA']"
105,*MALAYSIA'S POH HUAT RESOURCES HOLDINGS 4Q NET PROFIT MYR14.83 MLN VS MYR20.86 MLN YEAR AGO,"['SOFA','SEA','MY','NIKKEI','NR/ERN','7088.KL']"
106,*MALAYSIA'S POH HUAT RESOURCES HOLDINGS 4Q REVENUE MYR192.08 MLN VS MYR189.51 MLN YEAR AGO,"['SOFA','SEA','MY','NIKKEI','NR/ERN','7088.KL']"
107,*MALAYSIA'S POH HUAT RESOURCES HOLDINGS 4Q NET PROFIT MYR14.83 MLN VS MYR20.86 MLN YEAR AGO,"['SOFA','SEA','MY','NIKKEI','NR/ERN','7088.KL','NR/ASIA']"
108,*MALAYSIA'S POH HUAT RESOURCES HOLDINGS 4Q REVENUE MYR192.08 MLN VS MYR189.51 MLN YEAR AGO,"['SOFA','SEA','MY','NIKKEI','NR/ERN','7088.KL','NR/ASIA']"
109,"*INDIA'S NABARD TO RAISE INR7.09 BLN VIA 15-YEAR BONDS, INVITES BIDS ON JAN 2 - DEALERS","['REUTERS','DBT','MMT','IN','CORPD']"
110,"*MALAYSIA NAMES MOHD ZUKI ALI AS GOVT CHIEF SECRETARY EFFECTIVE JAN. 1, 2020","['POL','BOSS1','SEA','MY','NIKKEI','NR/PLT']"
111,"*MALAYSIA NAMES MOHD ZUKI ALI AS GOVT CHIEF SECRETARY EFFECTIVE JAN. 1, 2020","['POL','SEA','MY','NIKKEI','NR/PLT','NR/ASIA','PLCY']"
112,*MALAYSIA'S BORNEO OIL PLANS PRIVATE SHARE SALE TO RAISE UP TO MYR30.56 MLN,"['ISLF','SEA','MY','NIKKEI','7036.KL','CAFE']"
113,*MALAYSIA'S BORNEO OIL PLANS PRIVATE SHARE SALE TO RAISE UP TO MYR30.56 MLN,"['ISLF','SEA','MY','NIKKEI','7036.KL','CAFE','NR/ASIA']"
114,*MALAYSIA AIRPORTS HOLDINGS NAMES MOHAMED RASTAM SHAHROM AS CHIEF FINANCIAL OFFICER,"['5014.KL','SEA','MY','NIKKEI','BOSS1','AIRP']"
115,*MALAYSIA AIRPORTS HOLDINGS NAMES MOHAMED RASTAM SHAHROM AS CHIEF FINANCIAL OFFICER,"['5014.KL','SEA','MY','NIKKEI','BOSS1','AIRP','NR/ASIA']"
116,*MALAYSIA'S JHM CONSOLIDATION PLANS LISTING TRANSFER TO MAIN MARKET FROM ACE MARKET,"['CHIP','SEA','MY','NIKKEI','ISLF','0127.KL']"
117,*MALAYSIA'S JHM CONSOLIDATION PLANS LISTING TRANSFER TO MAIN MARKET FROM ACE MARKET,"['CHIP','SEA','MY','NIKKEI','ISLF','0127.KL','NR/ASIA']"
118,*ALLIANZ MALAYSIA DECLARES SPECIAL DIVIDEND OF MYR0.14 /SHARE,"['MINS','BONS','SEA','MY','NIKKEI','1163.KL','DIV']"
119,*ALLIANZ MALAYSIA DECLARES SPECIAL DIVIDEND OF MYR0.14 /SHARE,"['MINS','BONS','SEA','MY','NIKKEI','1163.KL','DIV','NR/ASIA']"
120,*INDIA OFFICIAL: TO UNVEIL NATIONAL INFRASTRUCTURE PIPELINE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
121,*INDIA FINANCE MINISTER: TASK FORCE IDENTIFIED INR102 TLN OF PROJECTS FOR INFRA PIPELINE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
122,"*INDIA FINANCE MINISTER: IN ALL, WE WILL HAVE INFRA PIPELINE OF ABOUT INR105 TLN OF PROJECTS","['REUTERS','FRX','DBT','MMT','IN','ECON']"
123,*INDIA FINANCE MINISTER NIRMALA SITHARAMAN BRIEFING REPORTERS IN NEW DELHI ,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
124,"*INDIA FINANCE MINISTER: FEDERAL GOVT, STATES TO HAVE 39% SHARE EACH IN NATIONAL INFRASTRUCTURE PIPELINE","['REUTERS','FRX','DBT','MMT','IN','ECON']"
125,"*INDIA FINANCE MINISTER: PRIVATE SHARE IN NATIONAL INFRA PIPELINE AT 22%, TO RISE TO 30% BY 2025","['REUTERS','FRX','DBT','MMT','IN','ECON']"
126,*INDIA FINANCE MINISTER: ABOUT 63% PROJECTS OF PIPELINE FIRMED UP,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
127,"*INDIA MINISTER: PROJECTS IN POWER, RAILWAYS, IRRIGATION, EDUCATION, HEALTH, WATER SECTORS FORM BULK OF INFRA PIPELINE","['REUTERS','FRX','DBT','MMT','IN','ECON']"
128,*MALAYSIA BOUSTEAD HEAVY INDUSTRIES CORPORATION CEO EE TECK CHEE RESIGNS,"['ISLF','8133.KL','MY','SEA','NIKKEI','CONG']"
129,*MALAYSIA'S BOUSTEAD HEAVY INDUSTRIES CEO EE TECK CHEE RESIGNS,"['ISLF','8133.KL','MY','SEA','NIKKEI','CONG','BOSS1','NR/ASIA']"
130,*INDIA OFFICIAL: NEARLY INR25 TLN ENERGY PROJECTS LINED UP UNDER INFRA PIPELINE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
131,*INDIA OFFICIAL: NEARLY INR20 TLN ROAD PROJECTS LINED UP UNDER INFRA PIPELINE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
132,*INDIA OFFICIAL: ABOUT INR14 TLN RAILWAY PROJECTS LINED UP UNDER INFRA PIPELINE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
133,"*INDIA OFFICIAL: ABOUT INR2.5 TLN OF PORT, AIRPORT PROJECTS LINED UP UNDER INFRA PIPELINE","['REUTERS','FRX','DBT','MMT','IN','ECON']"
134,*INDIA OFFICIAL: ABOUT INR3.2 TLN OF TELECOM PROJECTS LINED UP UNDER INFRA PIPELINE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
135,*INDIA OFFICIAL: ABOUT INR7.73 TLN OF RURAL INFRA PROJECTS LINED UP UNDER PIPELINE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
136,*INDIA OFFICIAL: ABOUT INR7.73 TLN OF IRRIGATION PROJECTS LINED UP UNDER INFRA PIPELINE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
137,*INDIA OFFICIAL: ABOUT INR3.57 TLN OF SOCIAL INFRASTRUCTURE PROJECTS LINED UP UNDER PIPELINE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
138,"*INDIA OFFICIAL: LOOKING AT INR13.64 TLN INVESTMENTS IN FY20, INR19.50 TLN IN FY21 UNDER INFRA PIPELINE","['REUTERS','FRX','DBT','MMT','IN','ECON']"
139,"*INDIA OFFICIAL: LOOKING AT INR18.96 TLN INVESTMENTS IN FY22, INR13.80 TLN IN FY23 UNDER INFRA PIPELINE","['REUTERS','FRX','DBT','MMT','IN','ECON']"
140,"*INDIA OFFICIAL: LOOKING AT INR12.78 TLN INVESTMENTS IN FY24, INR11.06 TLN IN FY25 UNDER INFRA PIPELINE","['REUTERS','FRX','DBT','MMT','IN','ECON']"
141,"*INDIA OFFICIAL: CONCEPTUAL STAGE PROJECTS INCLUDE IN EXPRESSWAYS, FREIGHT CORRIDORS, RIVER LINKING, RENEWABLE ENERGY","['REUTERS','FRX','DBT','MMT','IN','ECON']"
142,*INDIA OFFICIAL: PROJECTS WORTH INR42.70 TLN UNDER NATIONAL INFRASTRUCTURE PIPELINE UNDER IMPLEMENTATION,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
143,*INDIA OFFICIAL: PROJECTS WORTH INR32.70 TLN UNDER NATIONAL INFRASTRUCTURE PIPELINE IN CONCEPTUALIZATION STAGE,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
144,*INDIA ECONOMIC AFFAIRS SECRETARY: OVERALL SPENDING FORM BUDGET FOR INFRASTRUCTURE HAS BEEN GOING UP,"['REUTERS','FRX','DBT','MMT','IN','ECON']"
145,"*INDIA ECONOMIC AFFAIRS SECRETARY: AS FUNDING NEED RISES, FUNDING FROM BUDGET WILL GO UP","['REUTERS','FRX','DBT','MMT','IN','ECON']"
